target,run_id,n_rows,mean_plddt,max_plddt,mean_soluprot,max_soluprot
1b65A00,cath_test_1b65A00,118,96.008854,96.214876,0.600407,0.639303
1e1hB02,cath_test_1e1hB02,119,85.665748,90.752979,0.65135,0.71191
1efnD00,cath_test_1efnD00,120,96.705959,97.127018,0.615499,0.729123
1f4hB01,cath_test_1f4hB01,119,95.946945,96.083271,0.638645,0.666104
1h41B03,cath_test_1h41B03,120,95.375234,95.649244,0.588476,0.623605
1jmoL00,cath_test_1jmoL00,120,66.621839,73.630638,0.908972,0.970893
1jmzG00,cath_test_1jmzG00,120,96.159293,96.389838,0.683433,0.749522
1kvdD00,cath_test_1kvdD00,120,60.495939,68.417302,0.418561,0.583959
1ltsA00,cath_test_1ltsA00,120,86.527611,90.66301,0.724457,0.783308
1m3iC02,cath_test_1m3iC02,120,95.294907,95.67914,0.677871,0.717228
1no3A05,cath_test_1no3A05,110,91.84178,92.59322,0.701332,0.744496
1nqlA03,cath_test_1nqlA03,119,95.187196,95.559771,0.667871,0.699552
1ogmX01,cath_test_1ogmX01,120,96.827186,97.295839,0.594956,0.686539
1ohgC01,cath_test_1ohgC01,120,95.582404,96.234804,0.653285,0.724516
1qmbB00,cath_test_1qmbB00,120,96.29345,96.41408,0.703346,0.76508
2vvrB00,cath_test_2vvrB00,120,96.651879,96.736667,0.595642,0.676192
2wejA00,cath_test_2wejA00,120,97.656246,97.889341,0.720752,0.773832
2x62B00,cath_test_2x62B00,120,94.442848,96.663068,0.59754,0.668735
3ab2G02,cath_test_3ab2G02,120,95.707063,95.933109,0.585024,0.638942
3ablS00,cath_test_3ablS00,120,96.121346,96.251111,0.218946,0.239178
3asnY00,cath_test_3asnY00,120,96.146869,96.258967,0.22266,0.244467
3b5mC01,cath_test_3b5mC01,120,96.531369,96.836907,0.626002,0.697291
3bukC01,cath_test_3bukC01,112,89.988701,92.961532,0.775449,0.825005
